A1.AU.x.PS1044_Day0.DQ676872,A1
A1.GE.99.99GEMZ011.DQ207944,A1
A1.KE.00.KER2008.AF457052,A1
A1.KE.00.KER2009.AF457053,A1
A1.KE.00.KER2012.AF457055,A1
A1.KE.00.KNH1144.AF457066,A1
A1.KE.00.KNH1199.AF457067,A1
A1.KE.00.KNH1207.AF457068,A1
A1.KE.00.KNH1209.AF457069,A1
A1.KE.00.KNH1211.AF457070,A1
A1.KE.00.KSM4024.AF457077,A1
A1.KE.00.KSM4030.AF457079,A1
A1.KE.00.MSA4069.AF457080,A1
A1.KE.00.MSA4070.AF457081,A1
A1.KE.00.MSA4072.AF457083,A1
A1.KE.00.MSA4076.AF457084,A1
A1.KE.00.MSA4079.AF457086,A1
A1.KE.00.NKU3005.AF457089,A1
A1.KE.86.ML170_1986.AF539405,A1
A1.KE.94.Q23_17.AF004885,A1
A1.KE.97.ML013_2.AY322185,A1
A1.KE.97.ML605_3.AY322190,A1
A1.KE.97.ML752.AY322193,A1
A1.KE.99.KNH1088.AF457063,A1
A1.KE.99.KNH1135.AF457065,A1
A1.KE.99.KSM4021.AF457075,A1
A1.KE.x.ML1901PCR2.EU110095,A1
A1.KE.x.ML1945.EU110088,A1
A1.KE.x.ML1990PCR.EU110097,A1
A1.KE.x.ML1990.EU110092,A1
A1.KE.x.ML2014.EU110094,A1
A1.KE.x.ML752.EU110085,A1
A1.RU.00.RU00051.EF545108,A1
A1.RU.03.03RU20_06_13.AY500393,A1
A1.RW.92.92RW008.AB253421,A1
A1.RW.92.92RW025A.AB287376,A1
A1.RW.93.93RW037A.AB287379,A1
A1.RW.93.93RW_024.AY713406,A1
A1.SE.94.SE7253.AF069670,A1
A1.SE.94.SE7535.AF069671,A1
A1.SE.95.SE8538.AF069669,A1
A1.SE.95.SE8891.AF069673,A1
A1.SE.95.UGSE8131.AF107771,A1
A1.TZ.01.A173.AY253305,A1
A1.TZ.01.A195.AY253306,A1
A1.TZ.01.A341.AY253314,A1
A1.TZ.97.97TZ02.AF361872,A1
A1.TZ.97.97TZ03.AF361873,A1
A1.UA.00.98UA0116.AF413987,A1
A1.UA.01.01UADN121.DQ823358,A1
A1.UA.01.01UADN139.DQ823357,A1
A1.UA.01.01UAKV254.DQ823361,A1
A1.UA.01.01UAOD10.DQ823365,A1
A1.UA.01.01UAOD35.DQ823366,A1
A1.UA.01.01UAOD89.DQ823367,A1
A1.UA.01.01UAPol293.DQ823359,A1
A1.UA.01.01UAPol294.DQ823356,A1
A1.UA.01.01UAPol303.DQ823360,A1
A1.UG.85.U455.M62320,A1
A1.UG.92.92UG037.AB253429,A1
A1.UG.92.92UG_029.AY713407,A1
A1.UG.92.UG029.AB098333,A1
A1.UG.98.98UG57134.AF484507,A1
A1.UG.98.98UG57135.AF484508,A1
A1.UG.98.98UG57136.AF484509,A1
A1.UG.98.98UG57142.AF484512,A1
A1.UG.99.99UGA07072.AF484478,A1
A1.UG.99.99UGG03379.AF484493,A1
A1.UG.x.UG031.AB098331,A1
A1.UZ.02.02UZ0659.AY829209,A1
A1.UZ.02.02UZ0663.AY829210,A1
A1.UZ.02.02UZ0672.AY829212,A1
A1.UZ.02.02UZ652.AY829203,A1
A1.UZ.02.02UZ694.AY829205,A1
A1.UZ.02.02UZ698.AY829206,A1
A1.UZ.02.02UZ740.AY829208,A1
A2.CD.97.97CDKS10.AF286241,A2
A2.CD.97.97CDKTB48.AF286238,A2
A2.CY.94.94CY017_41.AF286237,A2
B.AR.00.ARMS008.AY037269,B
B.AR.02.02AR114146.DQ383746,B
B.AR.03.03AR137681.DQ383748,B
B.AR.03.03AR138910.DQ383749,B
B.AR.04.04AR143170.DQ383750,B
B.AR.04.04AR151263.DQ383751,B
B.AR.04.04AR151516.DQ383752,B
B.AR.98.ARCH054.AY037268,B
B.AR.99.ARMA132.AY037282,B
B.AU.86.MBC200.AF042100,B
B.AU.87.MBC925.AF042101,B
B.AU.95.MBCC54.AF042103,B
B.AU.96.MBCC98.AF042104,B
B.AU.96.MBCD36.AF042105,B
B.AU.x.1181.AF538302,B
B.AU.x.2870718.AY857022,B
B.AU.x.7894552.AY857127,B
B.AU.x.9125091.AY857165,B
B.AU.x.C24.AF538304,B
B.AU.x.C42.AF538305,B
B.AU.x.C76.AF538306,B
B.AU.x.C92.AF538307,B
